'17735','2016'
'17736','2016'
'18168','2016'
'18169','2016'
'18170','2016'
'18171','2016'
'18272',NULL
'18273',NULL
'18286','2017'
'18287','2017'
'18288','2017'
'18872','2017'
'19557',NULL
'19558',NULL
'19559',NULL
'19656',NULL
'19657',NULL
'19658',NULL
'19659',NULL
'19660',NULL
'19661',NULL
'19662',NULL
'19663',NULL
'19664',NULL
'19665',NULL
'19666',NULL
'19667',NULL
'19671','2017'
'19672','2017'
'19673','2017'
'19908',NULL
'20009',NULL
'20010',NULL
'20011',NULL
'20348',NULL
'20349',NULL
'20938',NULL
'20939',NULL
'20940',NULL
'20941',NULL
'20942',NULL
'21157',NULL
'21352',NULL
'21353',NULL
'21354',NULL
'21355',NULL
